"DisplayName","DisplayVersion","Publisher","InstallDate"
"AMD DVR64","1.0.2","Advanced Micro Devices, Inc.","20250904"
"AMD Settings","2025.0701.0345.1996","Advanced Micro Devices, Inc.","20250904"
"AMD Software","25.8.1","Advanced Micro Devices, Inc.",
"AMD WVR64","1.0.2","Advanced Micro Devices, Inc.","20250904"
"Application Verifier x64 External Package","10.1.19041.5609","Microsoft","20250904"
"Branding64","1.00.0009","Advanced Micro Devices, Inc.","20250904"
"calibre 64bit","8.12.0","Kovid Goyal","20251013"
"Canon MF Scan Utility","1.21.0.2","CANON INC.",
"Canon MF450 Series","7.2.0.0","CANON INC.",
"Canon MP190 series MP Drivers",,,
"ConfigTool 4.09.0","4.09.0",,
"CPUID HWMonitor 1.60","1.60","CPUID, Inc.","20251120"
"CrystalDiskInfo 9.7.2","9.7.2","Crystal Dew World","20251002"
"DBeaver 25.2.3","25.2.3","DBeaver Corp",
"Docker Desktop","4.48.0","Docker Inc.",
"Eclipse Temurin JDK with Hotspot 21.0.8+9 (x64)","21.0.8.9","Eclipse Adoptium","20250914"
"EZTools","1.1.26","EZTools","20250917"
"GIMP 3.0.6-1","3.0.6.1","The GIMP Team","20251024"
"Git","2.52.0","The Git Development Community","20251120"
"Google Chrome","142.0.7444.163","Google LLC","20251114"
"IrfanView 4.72 (64-bit)","4.72","Irfan Skiljan",
"Kits Configuration Installer","10.1.19041.5609","Microsoft","20250904"
"Lightshot-5.5.0.7","5.5.0.7","Skillbrains","20251024"
"LineageII","CT2.6 Part 4","4Game","10/28/2025"
"MariaDB 12.0 (x64)","12.0.2.0","MariaDB Corporation Ab",
"MariaDB 12.0 (x64)","12.0.2.0","MariaDB Corporation Ab","20250905"
"Microsoft .NET Framework 4 Multi-Targeting Pack","4.0.30319","Microsoft Corporation","20250904"
"Microsoft Edge","142.0.3595.80","Корпорація Майкрософт","20251117"
"Microsoft Office профессиональный плюс 2024 - ru-ru","16.0.19328.20190","Microsoft Corporation",
"Microsoft OneDrive","25.209.1026.0002","Microsoft Corporation",
"Microsoft Teams Meeting Add-in for Microsoft Office","1.25.24601","Microsoft","20251013"
"Microsoft Update Health Tools","3.74.0.0","Microsoft Corporation","20250513"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.4053 False","8.0.50727.4053","Microsoft Corporation","20250904"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.42 False","8.0.50727.42","Microsoft Corporation","20250904"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.51011 False","8.0.51011","Microsoft Corporation","20250904"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.56336 False","8.0.56336","Microsoft Corporation","20250904"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.57102 False","8.0.57102","Microsoft Corporation","20250904"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.58298 False","8.0.58298","Microsoft Corporation","20250904"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.59192 False","8.0.59192","Microsoft Corporation","20250904"
"Microsoft Visual C++ 2005 Redistributable - x64 8.0.61000","8.0.61000","Microsoft Corporation","20250904"
"Microsoft Visual C++ 2005 Redistributable - x86 8.0.50727.4053 False","8.0.50727.4053","Microsoft Corporation","20250904"
